cust_id,transaction_type,transaction_date,subscription_type,subscription_price,customer_gender,age_group,customer_country,referral_type
36,initial,2022-10-01,MAX,119,Female,45-54,Denmark,Google Ads
37,initial,2020-02-01,PRO,65,Female,35-44,Sweden,facebook
37,UPGRADE,2020-11-01,MAX,99,Female,35-44,Sweden,facebook
37,CHURN,2020-11-01,PRO,65,Female,35-44,Sweden,facebook
38,initial,2021-06-01,PRO,75,Male,25-34,Finland,Unknown
38,REDUCTION,2022-07-01,BASIC,53,Male,25-34,Finland,Unknown
39,initial,2020-08-01,PRO,65,Male,18-24,Sweden,Google Ads
39,UPGRADE,2022-04-01,MAX,119,Male,18-24,Sweden,Google Ads
39,CHURN,2022-07-01,MAX,119,Male,18-24,Sweden,Google Ads
40,initial,2020-12-01,MAX,99,Other,18-24,Denmark,facebook
40,REDUCTION,2021-10-01,BASIC,43,Other,18-24,Denmark,facebook
40,CHURN,2022-04-01,BASIC,53,Other,18-24,Denmark,facebook
41,initial,2021-08-01,MAX,109,Male,35-44,Sweden,Google Ads
41,REDUCTION,2022-10-01,BASIC,53,Male,35-44,Sweden,Google Ads
42,initial,2021-06-01,BASIC,43,Female,25-34,Sweden,TV
43,initial,2020-04-01,MAX,99,Female,45-54,Sweden,Organic Search
43,REDUCTION,2021-10-01,PRO,75,Female,45-54,Sweden,Organic Search
44,initial,2021-11-01,PRO,75,Male,18-24,Sweden,Paid Search
44,REDUCTION,2022-08-01,BASIC,53,Male,18-24,Sweden,Paid Search
45,initial,2022-02-01,PRO,85,Female,55-65,Sweden,Unknown
45,UPGRADE,2022-11-01,MAX,119,Female,55-65,Sweden,Unknown
46,initial,2021-10-01,PRO,75,Male,18-24,Sweden,Paid Search
46,UPGRADE,2022-03-01,MAX,119,Male,18-24,Sweden,Paid Search
47,initial,2020-10-01,BASIC,33,Male,18-24,Sweden,Google Ads
47,UPGRADE,2021-06-01,MAX,109,Male,18-24,Sweden,Google Ads
48,initial,2020-05-01,MAX,99,Male,55-65,Sweden,facebook
48,REDUCTION,2021-02-01,PRO,75,Male,55-65,Sweden,facebook
49,initial,2022-09-01,MAX,119,Female,18-24,Sweden,Google Ads
50,initial,2022-06-01,MAX,119,Other,55-65,Sweden,facebook
51,initial,2021-12-01,BASIC,43,Female,18-24,Sweden,Google Ads
51,CHURN,2022-07-01,BASIC,53,Female,18-24,Sweden,Google Ads
52,initial,2021-12-01,MAX,109,Other,25-34,Denmark,Google Ads
52,REDUCTION,2022-06-01,PRO,85,Other,25-34,Denmark,Google Ads
53,initial,2020-06-01,PRO,65,Female,25-34,Denmark,facebook
53,UPGRADE,2021-01-01,MAX,109,Female,25-34,Denmark,facebook
54,initial,2022-07-01,PRO,85,Female,55-65,Sweden,TV
55,initial,2022-01-01,BASIC,53,Male,45-54,Sweden,Paid Search
56,initial,2020-05-01,PRO,65,Female,45-54,Finland,facebook
56,UPGRADE,2022-04-01,MAX,119,Female,45-54,Finland,facebook
57,initial,2022-03-01,PRO,85,Male,35-44,Sweden,Paid Search
58,initial,2022-01-01,BASIC,53,Female,25-34,Norway,facebook
59,initial,2022-01-01,MAX,119,Female,35-44,Norway,Paid Search
59,REDUCTION,2022-11-01,BASIC,53,Female,35-44,Norway,Paid Search
60,initial,2020-08-01,BASIC,33,Male,45-54,Finland,facebook
60,CHURN,2021-03-01,BASIC,43,Male,45-54,Finland,facebook
61,initial,2022-06-01,PRO,85,Male,25-34,Sweden,Organic Search
62,initial,2021-03-01,PRO,75,Female,35-44,Sweden,Organic Search
62,UPGRADE,2021-10-01,MAX,109,Female,35-44,Sweden,Organic Search
62,CHURN,2022-07-01,MAX,119,Female,35-44,Sweden,Organic Search
63,initial,2020-08-01,MAX,99,Female,18-24,Denmark,facebook
63,REDUCTION,2020-11-01,PRO,65,Female,18-24,Denmark,facebook
64,initial,2020-02-01,MAX,99,Female,25-34,Sweden,facebook
64,REDUCTION,2020-04-01,PRO,65,Female,25-34,Sweden,facebook
65,initial,2021-06-01,BASIC,43,Male,55-65,Denmark,Paid Search
65,CHURN,2022-03-01,BASIC,53,Male,55-65,Denmark,Paid Search
66,initial,2020-11-01,PRO,65,Male,35-44,Sweden,Organic Search
66,REDUCTION,2022-04-01,BASIC,53,Male,35-44,Sweden,Organic Search
67,initial,2022-10-01,PRO,85,Male,55-65,Norway,Organic Search
68,initial,2020-09-01,MAX,99,Female,45-54,Norway,Google Ads
68,REDUCTION,2022-04-01,BASIC,53,Female,45-54,Norway,Google Ads
69,initial,2022-02-01,PRO,85,Male,55-65,Sweden,facebook
69,UPGRADE,2022-11-01,MAX,119,Male,55-65,Sweden,facebook
70,initial,2022-07-01,PRO,85,Female,45-54,Sweden,Google Ads
71,initial,2021-02-01,PRO,75,Male,55-65,Denmark,Google Ads
71,REDUCTION,2021-08-01,BASIC,43,Male,55-65,Denmark,Google Ads
71,CHURN,2022-05-01,BASIC,53,Male,55-65,Denmark,Google Ads
72,initial,2020-09-01,MAX,99,Male,18-24,Finland,facebook
72,REDUCTION,2022-02-01,BASIC,53,Male,18-24,Finland,facebook
73,initial,2022-05-01,PRO,85,Female,45-54,Norway,facebook
74,initial,2022-08-01,MAX,119,Male,18-24,Finland,Google Ads
75,initial,2021-07-01,BASIC,43,Male,18-24,Norway,facebook
76,initial,2022-06-01,PRO,85,Male,25-34,Sweden,Google Ads
76,REDUCTION,2022-11-01,BASIC,53,Male,25-34,Sweden,Google Ads
77,initial,2020-01-01,BASIC,33,Female,35-44,Sweden,facebook
77,UPGRADE,2021-11-01,PRO,75,Female,35-44,Sweden,facebook
78,initial,2020-03-01,PRO,65,Male,45-54,Sweden,Google Ads
78,UPGRADE,2022-02-01,MAX,119,Male,45-54,Sweden,Google Ads
79,initial,2022-07-01,PRO,85,Male,18-24,Sweden,Google Ads
80,initial,2021-01-01,PRO,75,Female,18-24,Denmark,Organic Search
80,REDUCTION,2022-07-01,BASIC,53,Female,18-24,Denmark,Organic Search
81,initial,2020-11-01,MAX,99,Female,45-54,Sweden,Unknown
81,REDUCTION,2022-01-01,PRO,85,Female,45-54,Sweden,Unknown
81,CHURN,2022-10-01,PRO,85,Female,45-54,Sweden,Unknown
82,initial,2022-09-01,BASIC,53,Female,18-24,Sweden,Paid Search
83,initial,2022-09-01,BASIC,53,Male,35-44,Norway,facebook
84,initial,2020-09-01,MAX,99,Female,45-54,Finland,Google Ads
84,REDUCTION,2020-10-01,PRO,65,Female,45-54,Finland,Google Ads
85,initial,2021-10-01,PRO,75,Male,55-65,Sweden,Organic Search
86,initial,2022-04-01,PRO,85,Male,18-24,Norway,facebook
86,REDUCTION,2022-08-01,BASIC,53,Male,18-24,Norway,facebook
87,initial,2020-01-01,MAX,99,Female,25-34,Sweden,Google Ads
87,REDUCTION,2020-06-01,BASIC,33,Female,25-34,Sweden,Google Ads
88,initial,2022-06-01,BASIC,53,Male,25-34,Finland,facebook
89,initial,2021-03-01,MAX,109,Other,55-65,Sweden,Display
89,REDUCTION,2021-05-01,BASIC,43,Other,55-65,Sweden,Display
90,initial,2020-12-01,BASIC,33,Male,55-65,Sweden,Google Ads
90,CHURN,2021-04-01,BASIC,43,Male,55-65,Sweden,Google Ads
91,initial,2020-10-01,MAX,99,Female,18-24,Sweden,Organic Search
91,REDUCTION,2021-09-01,BASIC,43,Female,18-24,Sweden,Organic Search
92,initial,2022-09-01,PRO,85,Female,35-44,Sweden,Organic Search
93,initial,2022-10-01,PRO,85,Male,55-65,Sweden,Google Ads
94,initial,2022-11-01,PRO,85,Male,18-24,Denmark,facebook
95,initial,2020-11-01,BASIC,33,Male,45-54,Sweden,Google Ads
95,UPGRADE,2021-06-01,MAX,109,Male,45-54,Sweden,Google Ads
96,initial,2021-05-01,MAX,109,Female,55-65,Norway,Google Ads
96,REDUCTION,2022-10-01,PRO,85,Female,55-65,Norway,Google Ads
97,initial,2022-05-01,MAX,119,Female,45-54,Sweden,Google Ads
98,initial,2022-01-01,BASIC,53,Male,18-24,Denmark,Google Ads
99,initial,2022-06-01,MAX,119,Male,35-44,Sweden,Unknown
100,initial,2022-08-01,BASIC,53,Male,25-34,Norway,Paid Search
101,initial,2021-12-01,BASIC,43,Female,45-54,Norway,Google Ads
101,UPGRADE,2022-08-01,PRO,85,Female,45-54,Norway,Google Ads
102,initial,2022-12-01,PRO,85,Male,18-24,Sweden,Google Ads
103,initial,2022-11-01,PRO,85,Male,55-65,Finland,facebook
104,initial,2021-06-01,MAX,109,Male,18-24,Sweden,Google Ads
104,REDUCTION,2021-09-01,BASIC,43,Male,18-24,Sweden,Google Ads
104,CHURN,2022-08-01,BASIC,53,Male,18-24,Sweden,Google Ads
105,initial,2020-09-01,PRO,65,Male,18-24,Denmark,Paid Search
105,UPGRADE,2022-07-01,MAX,119,Male,18-24,Denmark,Paid Search
106,initial,2020-12-01,MAX,99,Male,55-65,Denmark,Display
106,REDUCTION,2021-08-01,PRO,75,Male,55-65,Denmark,Display
106,CHURN,2022-06-01,PRO,85,Male,55-65,Denmark,Display
107,initial,2021-11-01,MAX,109,Female,55-65,Norway,facebook
107,REDUCTION,2022-07-01,PRO,85,Female,55-65,Norway,facebook
108,initial,2020-11-01,BASIC,33,Female,45-54,Finland,Unknown
108,UPGRADE,2022-11-01,PRO,85,Female,45-54,Finland,Unknown
109,initial,2020-04-01,PRO,65,Male,55-65,Finland,Unknown
109,CHURN,2020-07-01,PRO,65,Male,55-65,Finland,Unknown
110,initial,2022-11-01,BASIC,53,Female,18-24,Norway,facebook
111,initial,2020-01-01,PRO,65,Female,18-24,Denmark,Unknown
111,UPGRADE,2022-04-01,MAX,119,Female,18-24,Denmark,Unknown
111,CHURN,2022-08-01,MAX,119,Female,18-24,Denmark,Unknown
112,initial,2021-06-01,BASIC,43,Female,25-34,Sweden,Paid Search
112,UPGRADE,2022-08-01,MAX,119,Female,25-34,Sweden,Paid Search
113,initial,2021-10-01,MAX,109,Female,45-54,Finland,Unknown
113,CHURN,2022-11-01,MAX,119,Female,45-54,Finland,Unknown
114,initial,2021-01-01,PRO,75,Male,55-65,Denmark,facebook
114,REDUCTION,2022-08-01,BASIC,53,Male,55-65,Denmark,facebook
115,initial,2021-11-01,BASIC,43,Female,45-54,Finland,facebook
116,initial,2020-07-01,PRO,65,Other,25-34,Sweden,Paid Search
116,REDUCTION,2021-03-01,BASIC,43,Other,25-34,Sweden,Paid Search
117,initial,2021-11-01,PRO,75,Female,25-34,Finland,Google Ads
117,UPGRADE,2022-06-01,MAX,119,Female,25-34,Finland,Google Ads
117,CHURN,2022-07-01,PRO,85,Female,25-34,Finland,Google Ads
118,initial,2020-10-01,BASIC,33,Male,25-34,Denmark,facebook
118,CHURN,2021-02-01,BASIC,43,Male,25-34,Denmark,facebook
119,initial,2022-01-01,BASIC,53,Female,55-65,Sweden,Google Ads
119,CHURN,2022-10-01,BASIC,53,Female,55-65,Sweden,Google Ads
120,initial,2020-09-01,BASIC,33,Male,18-24,Sweden,Google Ads
120,CHURN,2021-03-01,BASIC,43,Male,18-24,Sweden,Google Ads
121,initial,2020-10-01,PRO,65,Male,35-44,Finland,Paid Search
121,REDUCTION,2021-09-01,BASIC,43,Male,35-44,Finland,Paid Search
121,CHURN,2022-07-01,BASIC,53,Male,35-44,Finland,Paid Search
122,initial,2020-10-01,MAX,99,Female,25-34,Sweden,Google Ads
122,REDUCTION,2021-12-01,PRO,75,Female,25-34,Sweden,Google Ads
123,initial,2020-10-01,BASIC,33,Male,55-65,Sweden,Paid Search
123,UPGRADE,2021-04-01,MAX,109,Male,55-65,Sweden,Paid Search
124,initial,2020-03-01,MAX,99,Female,25-34,Denmark,facebook
124,REDUCTION,2021-10-01,BASIC,43,Female,25-34,Denmark,facebook
124,CHURN,2022-02-01,BASIC,53,Female,25-34,Denmark,facebook
125,initial,2021-01-01,PRO,75,Female,35-44,Finland,Organic Search
125,UPGRADE,2022-08-01,MAX,119,Female,35-44,Finland,Organic Search
126,initial,2022-12-01,MAX,119,Female,35-44,Norway,Google Ads
127,initial,2020-07-01,MAX,99,Female,25-34,Denmark,Paid Search
127,REDUCTION,2022-02-01,BASIC,53,Female,25-34,Denmark,Paid Search
128,initial,2021-09-01,BASIC,43,Female,35-44,Denmark,Google Ads
128,UPGRADE,2021-12-01,PRO,75,Female,35-44,Denmark,Google Ads
128,CHURN,2022-04-01,PRO,85,Female,35-44,Denmark,Google Ads
128,CHURN,2022-06-01,BASIC,53,Female,35-44,Denmark,Google Ads
129,initial,2021-02-01,PRO,75,Male,25-34,Sweden,Paid Search
129,REDUCTION,2022-05-01,BASIC,53,Male,25-34,Sweden,Paid Search
130,initial,2020-09-01,BASIC,33,Male,55-65,Norway,Bing
130,CHURN,2021-02-01,BASIC,43,Male,55-65,Norway,Bing
131,initial,2022-09-01,BASIC,53,Female,45-54,Sweden,Organic Search
132,initial,2020-04-01,BASIC,33,Male,55-65,Sweden,Unknown
132,UPGRADE,2021-12-01,PRO,75,Male,55-65,Sweden,Unknown
132,CHURN,2022-09-01,PRO,85,Male,55-65,Sweden,Unknown
133,initial,2021-11-01,PRO,75,Male,45-54,Norway,Google Ads
133,UPGRADE,2022-07-01,MAX,119,Male,45-54,Norway,Google Ads
134,initial,2022-02-01,BASIC,53,Female,25-34,Sweden,Paid Search
134,CHURN,2022-09-01,BASIC,53,Female,25-34,Sweden,Paid Search
135,initial,2022-12-01,BASIC,53,Male,18-24,Norway,Google Ads
136,initial,2021-02-01,BASIC,43,Female,18-24,Norway,Google Ads
136,CHURN,2021-12-01,BASIC,43,Female,18-24,Norway,Google Ads
137,initial,2021-05-01,MAX,109,Male,35-44,Norway,Unknown
137,REDUCTION,2022-08-01,PRO,85,Male,35-44,Norway,Unknown
138,initial,2020-09-01,MAX,99,Male,25-34,Sweden,Google Ads
138,REDUCTION,2021-06-01,BASIC,43,Male,25-34,Sweden,Google Ads
139,initial,2020-11-01,MAX,99,Female,35-44,Finland,Google Ads
139,REDUCTION,2021-12-01,PRO,75,Female,35-44,Finland,Google Ads
140,initial,2021-11-01,PRO,75,Male,45-54,Sweden,Google Ads
141,initial,2022-03-01,PRO,85,Male,45-54,Sweden,facebook
141,REDUCTION,2022-07-01,BASIC,53,Male,45-54,Sweden,facebook
142,initial,2022-08-01,BASIC,53,Male,35-44,Finland,Organic Search
143,initial,2022-03-01,BASIC,53,Female,55-65,Norway,facebook
144,initial,2022-07-01,MAX,119,Female,55-65,Norway,facebook
145,initial,2021-07-01,PRO,75,Female,35-44,Sweden,Google Ads
145,UPGRADE,2022-11-01,MAX,119,Female,35-44,Sweden,Google Ads
146,initial,2022-11-01,MAX,119,Male,55-65,Denmark,facebook
147,initial,2020-06-01,BASIC,33,Female,45-54,Finland,facebook
147,UPGRADE,2021-01-01,PRO,75,Female,45-54,Finland,facebook
147,CHURN,2021-03-01,BASIC,43,Female,45-54,Finland,facebook
148,initial,2021-10-01,BASIC,43,Female,35-44,Norway,Unknown
149,initial,2020-11-01,PRO,65,Male,55-65,Sweden,Google Ads
149,REDUCTION,2021-01-01,BASIC,43,Male,55-65,Sweden,Google Ads
150,initial,2020-08-01,PRO,65,Female,35-44,Denmark,Paid Search
150,CHURN,2021-05-01,PRO,75,Female,35-44,Denmark,Paid Search
151,initial,2020-10-01,PRO,65,Male,18-24,Sweden,Display
151,CHURN,2021-01-01,PRO,75,Male,18-24,Sweden,Display
152,initial,2020-01-01,PRO,65,Male,35-44,Sweden,TV
152,CHURN,2020-04-01,PRO,65,Male,35-44,Sweden,TV
153,initial,2020-11-01,BASIC,33,Female,25-34,Norway,Google Ads
153,UPGRADE,2022-01-01,MAX,119,Female,25-34,Norway,Google Ads
154,initial,2020-04-01,PRO,65,Female,35-44,Denmark,Organic Search
154,UPGRADE,2022-04-01,MAX,119,Female,35-44,Denmark,Organic Search
155,initial,2021-10-01,BASIC,43,Male,18-24,Norway,Bing
155,CHURN,2022-06-01,BASIC,53,Male,18-24,Norway,Bing
156,initial,2022-12-01,PRO,85,Male,25-34,Sweden,facebook
157,initial,2022-09-01,BASIC,53,Male,18-24,Sweden,facebook
158,initial,2021-02-01,BASIC,43,Male,25-34,Norway,facebook
158,CHURN,2021-06-01,BASIC,43,Male,25-34,Norway,facebook
159,initial,2020-02-01,PRO,65,Female,35-44,Sweden,Unknown
159,UPGRADE,2021-07-01,MAX,109,Female,35-44,Sweden,Unknown
160,initial,2021-06-01,MAX,109,Female,25-34,Finland,facebook
160,REDUCTION,2021-12-01,BASIC,43,Female,25-34,Finland,facebook
161,initial,2020-09-01,PRO,65,Male,18-24,Norway,Google Ads
161,REDUCTION,2021-09-01,BASIC,43,Male,18-24,Norway,Google Ads
162,initial,2022-07-01,MAX,119,Female,55-65,Denmark,facebook
163,initial,2020-03-01,BASIC,33,Male,35-44,Denmark,Unknown
163,UPGRADE,2020-08-01,MAX,99,Male,35-44,Denmark,Unknown
163,CHURN,2021-06-01,MAX,109,Male,35-44,Denmark,Unknown
164,initial,2021-03-01,PRO,75,Female,55-65,Finland,Google Ads
164,REDUCTION,2021-07-01,BASIC,43,Female,55-65,Finland,Google Ads
164,CHURN,2022-01-01,BASIC,53,Female,55-65,Finland,Google Ads
165,initial,2021-11-01,BASIC,43,Male,18-24,Finland,Paid Search
165,UPGRADE,2022-06-01,MAX,119,Male,18-24,Finland,Paid Search
165,CHURN,2022-09-01,MAX,119,Male,18-24,Finland,Paid Search
166,initial,2022-01-01,PRO,85,Male,18-24,Denmark,Google Ads
167,initial,2021-06-01,PRO,75,Female,18-24,Norway,TV
167,REDUCTION,2022-04-01,BASIC,53,Female,18-24,Norway,TV
168,initial,2021-03-01,MAX,109,Other,25-34,Sweden,Paid Search
168,REDUCTION,2021-05-01,BASIC,43,Other,25-34,Sweden,Paid Search
169,initial,2022-03-01,PRO,85,Female,45-54,Finland,Google Ads
170,initial,2022-06-01,PRO,85,Female,55-65,Finland,Organic Search
171,initial,2022-09-01,PRO,85,Female,25-34,Norway,facebook
172,initial,2021-01-01,BASIC,43,Male,18-24,Sweden,Unknown
172,UPGRADE,2022-01-01,MAX,119,Male,18-24,Sweden,Unknown
172,CHURN,2022-02-01,BASIC,53,Male,18-24,Sweden,Unknown
173,initial,2021-03-01,PRO,75,Male,18-24,Sweden,Display
173,REDUCTION,2022-08-01,BASIC,53,Male,18-24,Sweden,Display
174,initial,2022-12-01,PRO,85,Female,55-65,Denmark,Organic Search
175,initial,2020-04-01,MAX,99,Female,25-34,Sweden,facebook
175,REDUCTION,2021-04-01,BASIC,43,Female,25-34,Sweden,facebook
176,initial,2022-05-01,PRO,85,Female,45-54,Sweden,Paid Search
176,CHURN,2022-08-01,PRO,85,Female,45-54,Sweden,Paid Search
177,initial,2021-05-01,PRO,75,Male,55-65,Norway,facebook
177,REDUCTION,2021-12-01,BASIC,43,Male,55-65,Norway,facebook
177,CHURN,2022-10-01,BASIC,53,Male,55-65,Norway,facebook
178,initial,2021-10-01,BASIC,43,Female,25-34,Sweden,facebook
178,UPGRADE,2022-05-01,MAX,119,Female,25-34,Sweden,facebook
179,initial,2020-12-01,BASIC,33,Female,55-65,Sweden,Bing
180,initial,2022-02-01,BASIC,53,Female,55-65,Sweden,Organic Search
181,initial,2021-12-01,MAX,109,Female,25-34,Finland,Google Ads
182,initial,2022-04-01,PRO,85,Female,35-44,Finland,facebook
182,CHURN,2022-10-01,PRO,85,Female,35-44,Finland,facebook
183,initial,2020-04-01,BASIC,33,Female,25-34,Norway,facebook
183,UPGRADE,2022-11-01,MAX,119,Female,25-34,Norway,facebook
184,initial,2021-08-01,BASIC,43,Male,55-65,Finland,Google Ads
184,UPGRADE,2022-11-01,PRO,85,Male,55-65,Finland,Google Ads
185,initial,2022-02-01,MAX,119,Female,45-54,Sweden,Google Ads
185,REDUCTION,2022-04-01,BASIC,53,Female,45-54,Sweden,Google Ads
186,initial,2022-12-01,PRO,85,Male,55-65,Sweden,Bing
187,initial,2021-07-01,PRO,75,Other,45-54,Finland,Google Ads
187,UPGRADE,2022-05-01,MAX,119,Other,45-54,Finland,Google Ads
187,CHURN,2022-09-01,MAX,119,Other,45-54,Finland,Google Ads
188,initial,2021-05-01,BASIC,43,Female,35-44,Finland,facebook
189,initial,2020-12-01,BASIC,33,Female,18-24,Sweden,Google Ads
189,CHURN,2022-01-01,BASIC,53,Female,18-24,Sweden,Google Ads
190,initial,2020-08-01,BASIC,33,Female,35-44,Sweden,facebook
190,UPGRADE,2021-11-01,PRO,75,Female,35-44,Sweden,facebook
191,initial,2020-08-01,PRO,65,Male,35-44,Finland,Paid Search
191,UPGRADE,2022-05-01,MAX,119,Male,35-44,Finland,Paid Search
191,CHURN,2022-08-01,MAX,119,Male,35-44,Finland,Paid Search
192,initial,2021-10-01,MAX,109,Female,25-34,Sweden,Google Ads
193,initial,2021-12-01,PRO,75,Male,25-34,Norway,Google Ads
193,REDUCTION,2022-06-01,BASIC,53,Male,25-34,Norway,Google Ads
194,initial,2022-03-01,BASIC,53,Male,25-34,Denmark,Google Ads
195,initial,2020-07-01,BASIC,33,Male,18-24,Sweden,Display
196,initial,2020-01-01,PRO,65,Female,45-54,Finland,Organic Search
196,CHURN,2021-02-01,PRO,75,Female,45-54,Finland,Organic Search
197,initial,2020-04-01,PRO,65,Male,55-65,Finland,TV
197,UPGRADE,2020-11-01,MAX,99,Male,55-65,Finland,TV
198,initial,2020-12-01,MAX,99,Female,35-44,Finland,Display
198,REDUCTION,2021-11-01,BASIC,43,Female,35-44,Finland,Display
199,initial,2022-09-01,MAX,119,Female,55-65,Sweden,Google Ads
199,REDUCTION,2022-10-01,PRO,85,Female,55-65,Sweden,Google Ads
200,initial,2022-10-01,BASIC,53,Female,18-24,Sweden,Google Ads
201,initial,2020-05-01,BASIC,33,Female,25-34,Norway,facebook
201,UPGRADE,2022-09-01,MAX,119,Female,25-34,Norway,facebook
202,initial,2020-03-01,PRO,65,Male,55-65,Denmark,TV
202,CHURN,2020-09-01,PRO,65,Male,55-65,Denmark,TV
203,initial,2020-01-01,BASIC,33,Other,25-34,Denmark,facebook
203,UPGRADE,2020-07-01,MAX,99,Other,25-34,Denmark,facebook
204,initial,2021-10-01,BASIC,43,Female,45-54,Sweden,facebook
205,initial,2022-08-01,BASIC,53,Female,18-24,Sweden,facebook
206,initial,2020-02-01,PRO,65,Female,55-65,Denmark,Google Ads
206,UPGRADE,2020-11-01,MAX,99,Female,55-65,Denmark,Google Ads
206,CHURN,2021-03-01,MAX,109,Female,55-65,Denmark,Google Ads
207,initial,2022-07-01,PRO,85,Male,25-34,Sweden,Google Ads
208,initial,2020-02-01,MAX,99,Female,25-34,Norway,facebook
208,REDUCTION,2020-09-01,BASIC,33,Female,25-34,Norway,facebook
209,initial,2020-07-01,MAX,99,Female,55-65,Sweden,Organic Search
209,REDUCTION,2022-03-01,PRO,85,Female,55-65,Sweden,Organic Search
210,initial,2020-02-01,BASIC,33,Female,35-44,Finland,Paid Search
210,UPGRADE,2021-02-01,MAX,109,Female,35-44,Finland,Paid Search
210,CHURN,2021-08-01,MAX,109,Female,35-44,Finland,Paid Search
211,initial,2022-07-01,MAX,119,Female,35-44,Finland,facebook
212,initial,2022-08-01,BASIC,53,Male,25-34,Finland,Paid Search
213,initial,2022-11-01,PRO,85,Female,45-54,Sweden,Google Ads
214,initial,2021-07-01,PRO,75,Female,18-24,Denmark,Paid Search
215,initial,2022-05-01,PRO,85,Female,25-34,Norway,Google Ads
215,REDUCTION,2022-09-01,BASIC,53,Female,25-34,Norway,Google Ads
216,initial,2021-01-01,BASIC,43,Other,55-65,Sweden,Google Ads
216,UPGRADE,2022-07-01,MAX,119,Other,55-65,Sweden,Google Ads
217,initial,2020-06-01,MAX,99,Female,18-24,Sweden,Paid Search
